,Product Name,Original Price,Discount,Discounted Price,Storage,Display,Camera,Chip
0,"APPLE iPhone 12 (Blue, 128 GB)","70,900",19% off,"56,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
1,"APPLE iPhone 12 (Black, 128 GB)","70,900",19% off,"56,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
2,"APPLE iPhone 12 (Green, 128 GB)","70,900",19% off,"56,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
3,"APPLE iPhone 12 (White, 128 GB)","70,900",19% off,"56,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
4,"APPLE iPhone 12 (Blue, 64 GB)","65,900",22% off,"50,999",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
5,"APPLE iPhone 12 (White, 64 GB)","65,900",22% off,"50,999",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
6,"APPLE iPhone 12 (Green, 64 GB)","65,900",22% off,"50,999",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
7,"APPLE iPhone 12 (Black, 256 GB)","80,900",17% off,"66,999",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
8,"APPLE iPhone 12 (Black, 64 GB)","65,900",22% off,"50,999",64 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
9,"APPLE iPhone 12 (Green, 256 GB)","80,900",17% off,"66,999",256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A14 Bionic Chip with Next Generation Neural Engine Processor
